en,id
Friend 7 egek ana opportunity kanggo watch trailer nang 19.25 pm,Teman 7 ada kesempatan untuk menonton trailer pada pukul 19.25 WIB
You can apply for a refund at one of the designated stations. You can do this at least 30 minutes before you leave.,Anda dapat mengajukan pengembalian dana di salah satu stasiun yang ditunjuk. Anda dapat melakukan ini setidaknya 30 menit sebelum berangkat.
"Tuku susu ing minimarket, ora ngertine uwis ngluwihi expiration time telung dina, semrawut!","Tuku susu ing minimarket, ora ngertine uwis ngluwihi expiration time telung dina, semrawut!"
"It's a cool place to hang out, with lots of food choices, a unique interiore and well-designed booths. Dekwingi pesen es teh lan bubur iwak pitik, loro karone eco, servicee uga apik lan grapyak. The location is also near the center of the city.","Tempat yang asyik untuk nongkrong, dengan banyak pilihan makanan, interior yang unik dan stan yang dirancang dengan baik. Di sini tersedia es teh dan bubur iwak pitik, loro karone ramah lingkungan, pelayanannya juga apik dan grapyak. Lokasinya juga dekat dengan pusat kota."
"What's wrong with doing your duty and then asking for your rights? Tulung, if you want to be respected, respect other people too, just don't understand. Kuwi njengkelake!","Apa salahnya melakukan kewajiban Anda dan kemudian meminta hak Anda? Tulung, kalau mau dihormati, hargailah orang lain juga, tidak mengerti. Kuwi njengkelake!"
"Bar saka tebing keraton, aku lan bareng participant trip mutusne dinggo manganan ning boemi joglo. We ordered sega liwet with a portion size of 8 people, sega liwet lagek served after 1 hour. Also, you have to collect spoons, forks and plates. Strangely, the restaurant team arrived when the crowd was full.","Bar saka tebing keraton, aku lan bareng peserta trip mutusne dinggo manganan ning boemi joglo. Kami memesan sega liwet dengan ukuran porsi untuk 8 orang, sega liwet lagek disajikan setelah 1 jam. Selain itu, Anda juga harus mengambil sendok, garpu dan piring. Anehnya, tim restoran datang ketika pengunjung sudah penuh."
This time it's enough to buy rp. 60 ewu ning homecare alfamart isa redeem lenga klentik mung limang atus,Kali ini cukup dengan membeli rp. 60 ewu ning homecare alfamart isa tebus lenga klentik mung limang atus
Messi cemen ora isa nggarai argentina sampaiek final meneh.,Messi cemen ora isa nggarai argentina sampaiek final meneh.
"Lock the room angel kanggo dienggo, kudune enggal dressed.","Lock the room angel kanggo dienggo, kudune enggal dressed."
Disturbed. He earns a big salary and is still supporting street vendors. Worse.,Terganggu. Dia mendapatkan gaji yang besar dan masih mendukung pedagang kaki lima. Lebih buruk lagi.
"This place provides tables and chairs in the interior and exterior of the room. Because we brought our own family, we chose to go indoors. We only ordered satay wedus and gule tok.","Tempat ini menyediakan meja dan kursi di bagian dalam dan luar ruangan. Karena kami membawa keluarga, kami memilih untuk makan di dalam ruangan. Kami hanya memesan sate wedus dan gule tok."
"One of my favorite foods is tofu. It's not only forbidden, it's also healthy. Tofu is easy to make in supermarkets, so tofu lovers have their own creativity in making it.","Salah satu makanan favorit saya adalah tahu. Tidak hanya enak, tapi juga menyehatkan. Tahu mudah dibuat di supermarket, sehingga para pecinta tahu memiliki kreativitas tersendiri dalam membuatnya."
The only curious thing about this cafe is that it's just a quiet place to eat. There's nothing strange or curious about it. The food is pretty standard. There's nothing special about it.,Satu-satunya hal yang membuat penasaran dari kafe ini adalah tempat ini merupakan tempat yang tenang untuk makan. Tidak ada yang aneh atau membuat penasaran. Makanannya cukup standar. Tidak ada yang istimewa tentang itu.
A netizen poll found that 70% of people like to lie. Are you still willing to believe it?,Sebuah jajak pendapat netizen menemukan bahwa 70% orang suka berbohong. Apakah Anda masih mau mempercayainya?
It's most fierce to throw up food you've already eaten. It's not that good,Sangat tidak enak untuk memuntahkan makanan yang sudah Anda makan. Ini tidak terlalu bagus
Klambi ilanga or responsibility ... telu star hotel nanging ana malinge service elek,Klambi ilanga atau tanggung jawab... hotel bintang telu nanging ana malinge pelayanan elek
"Madame Sari is a restaurant owned by Kartika Sari. The management is clever because the restaurant is located in the heart of the building, making it easy for customers who want to eat to buy brownies and other snacks. The Igane soup is worth a try, especially the fried sega.","Madame Sari adalah restoran yang dimiliki oleh Kartika Sari. Manajemennya cukup cerdik karena restoran ini terletak di tengah gedung, sehingga memudahkan pelanggan yang ingin makan untuk membeli brownies dan makanan ringan lainnya. Sup Igane-nya patut dicoba, terutama sega gorengnya."
"This simple restaurant is very busy, the food menu is mostly chicken penyet sambel. The taste is good, suitable for Indonesian flavors.","Restoran sederhana ini sangat ramai, menu makanannya kebanyakan ayam penyet sambel. Rasanya enak, cocok dengan cita rasa Indonesia."
"With just the number of letters v9 in this picture, you can get a surprise from bhinneka!","Hanya dengan jumlah huruf v9 pada gambar ini, Anda bisa mendapatkan kejutan dari bhinneka!"
"The restaurant is located on the ground and semi on the ground, the air is fresh, the menu is varied, the portions are large, the price is relatively cheap and the taste of the portions is quite satisfying. Service is also good. Highly recommended!","Restoran ini terletak di lantai dasar dan semi lantai dasar, udaranya segar, menunya bervariasi, porsinya besar, harganya relatif murah dan rasa porsinya cukup memuaskan. Pelayanannya juga bagus. Sangat direkomendasikan!"
"Traveloka disik, then dolan wkwkwkwk wis kaya star ads really not seh adewe","Traveloka disik, then dolan wkwkwkwk wis kaya star ads really not seh adewe"
"Positives: Cheap price, decent taste, good service, good texture.","Positif: Harga murah, rasa yang lumayan, pelayanan yang baik, tekstur yang baik."
The service at this hotel is excellent.,Layanan di hotel ini sangat baik.
Is it true that the number one is considered to be a hockey player in the Javanese elections?,Benarkah orang nomor satu dianggap sebagai pemain hoki dalam pemilihan di Jawa?
"I understand that the bri restaurant hours are from 1am to 2pm. However, the teller lan cor-e was the only one who opened the trx.","Saya mengerti bahwa jam buka restoran bri adalah dari jam 1 pagi sampai jam 2 siang. Namun, teller lan cor-e adalah satu-satunya yang membuka trx."
"Ahead of the Barca vs Milan match, we were greeted by a sedinoan wind! Alam ae eruh lan nang nang sad nyawang dolanan trick reget loro karone tim ck ck ck","Menjelang pertandingan Barca vs Milan, kami disambut oleh angin sedinoan! Alam ae eruh lan nang nang sad nyawang dolanan trik reget loro karone tim ck ck ck"
"The food is delicious, the place is cool and cozy. You can enjoy the view when it's cloudy. The afternoon is also pleasant.","Makanannya lezat, tempatnya sejuk dan nyaman. Anda bisa menikmati pemandangan saat mendung. Sore hari juga menyenangkan."
"The staff is not very gracious, when they serve food, they slam the plate, and when they put the ombean in any position, they don't know what kind of ombean it is. Kanggo rega foodane nganti saiki larang banget. The taste of the food, for example, is salty.","Stafnya tidak terlalu ramah, ketika mereka menyajikan makanan, mereka membanting piring, dan ketika mereka meletakkan ombean dalam posisi apa pun, mereka tidak tahu jenis ombean itu. Kanggo rega makananane nganti saiki larang banget. Rasa makanannya, misalnya, asin."
"I've been there many times, but I don't know if I'm tired of the romantic, quiet atmosphere, like in my own restaurant. From the food, the service is good. We recommend you to visit this place.","Saya sudah sering ke sana, tapi saya tidak tahu apakah saya bosan dengan suasana romantis dan tenang, seperti di restoran saya sendiri. Dari makanannya, pelayanannya bagus. Kami merekomendasikan Anda untuk mengunjungi tempat ini."
Pssi nduwe backup plan when waiting for luis milla,Pssi nduwe rencana cadangan saat menunggu luis milla
I knew I had a design job at the bakery because I worked from 8am until 6am the next day when I got home from the bakery.,Saya tahu bahwa saya memiliki pekerjaan desain di toko roti karena saya bekerja dari jam 8 pagi hingga jam 6 pagi keesokan harinya ketika saya pulang dari toko roti.
"Powerful opposition, not quality, by spreading the issue of gossip over and over again.","Oposisi yang kuat, bukan kualitas, dengan menyebarkan isu gosip berulang kali."
"Eiger, that's really neat stuff.","Eiger, itu benar-benar barang yang rapi."
"Eating here is really good. The package is cheap and can be used by many people. The taste is really good. Sambel is good, and they always provide 1 jar of pickle crackers. Lan sing kudu kuwi try, juse. Very good, fresh, a mixture of buwah lan kluban.","Makan di sini benar-benar enak. Paketnya murah dan dapat digunakan oleh banyak orang. Rasanya benar-benar enak. Sambelnya enak, dan mereka selalu menyediakan 1 toples kerupuk acar. Lan sing kudu kuwi dicoba, juse. Enak banget, segar, perpaduan buwah lan kluban."
"You won't be able to stop coming back here, especially when it's Friday evening or Saturday evening and there's live music, the food is delicious, it's really good, or you won't be able to wash your hands and you'll definitely come back.","Anda tidak akan bisa berhenti kembali ke sini, terutama saat Jumat malam atau Sabtu malam dan ada musik live, makanannya lezat, benar-benar enak, atau Anda tidak akan bisa mencuci tangan dan pasti akan kembali lagi."
"Mlebu resto sagoo you are treated to antique interiors, old school knick-knacks ngelengne awakdewe karo barang barang tua ning pawon jyen era. The food offered is also typical of peranakan cuisine of the past, the taste and flavor are comparable to the standard or special ones, the appearance of the room and the presentation are also very ordinary.","Di Mlebu resto ini Anda akan disuguhi dengan interior yang antik, pernak pernik jadul yang ngelengne awakdewe karo barang barang tua ning pawon jaman dulu. Makanan yang ditawarkan juga khas masakan peranakan tempo dulu, rasa dan citarasanya sebanding dengan yang standar maupun yang spesial, tampilan ruangan dan penyajiannya juga sangat biasa."
Jne is really amazing for delivering the nesupnesu package to me. Ora ora maneh a*u nganggo jne.,Jne benar-benar luar biasa karena telah mengirimkan paket nesupnesu kepada saya. Ora maneh a*u nganggo jne.
"Electricity short circuit, rong omah adat tongkonan angus kobongan","Korsleting listrik, rong omah adat tongkonan angus kobongan"
The location is at the top of the mountains with a beautiful view. Service is fast and efficient. Food variety.,Lokasinya berada di puncak pegunungan dengan pemandangan yang indah. Pelayanan cepat dan efisien. Makanan yang bervariasi.
"Sek takhormati bank bca, kayane kowe kudu nambah number of personnel customer service representative officer, timbang diceluk bang gedhe pelayanen elek","Sek takhormati bank bca, kayane kowe kudu nambah number of personnel customer service representative officer, timbang diceluk bang gedhe pelayanen elek"
Toyota's most popular item,Produk Toyota yang paling populer
"Cafe ning bandung utara iku cafe singung dodolan pemandangan, aja mengarep portion foodane akeh. But it's the atmosphere that makes me miss it, a large space that offers a respite from the chaos of the city. It's comfortable, cozy, quiet, and green.","Cafe ning bandung utara iku cafe sing sing dodolan pemandangan, aja mengarep porsi makananane akeh. Tapi suasananya yang bikin kangen, tempat yang luas dan menawarkan ketenangan dari hiruk pikuknya kota. Nyaman, nyaman, tenang, dan hijau."
The revision of the mass organizations law will be added to the national legislation during the January session. The agreement is with the legislative body,Revisi UU Ormas akan ditambahkan ke dalam legislasi nasional pada masa sidang Januari. Kesepakatannya adalah dengan badan legislatif
"Good for dating, hanging out, and jagongan karo-kanca, recommended lah pokoke.","Baik untuk kencan, nongkrong, dan jagongan karo-karo, direkomendasikan lah pokoke."
"Crispy fried chicken with special seasoning and fresh Sundanese ice cream, which is quite cheap with four flavors: chocolate, strawberry, blueberry, and kiwi.","Ayam goreng renyah dengan bumbu spesial dan es krim khas Sunda yang segar, yang cukup murah dengan empat rasa: cokelat, stroberi, blueberry, dan kiwi."
I had been looking at the seedlings in the wit when I saw them being eaten by the lawa.,Saya sedang mengamati bibit-bibit yang ada di dalam kecerdasan ketika saya melihatnya dimakan oleh lawa.
"There's no match for it, so long may it last.","Tidak ada tandingannya, jadi semoga ini bisa bertahan lama."
"It's a great place for students to eat and hang out with friends. The restaurant is quite cool, there are many food choices, Asian, Indonesian, Western food, and the price is very affordable. The service is good, by the way.","Ini adalah tempat yang tepat bagi para pelajar untuk makan dan berkumpul dengan teman-teman. Restorannya cukup keren, ada banyak pilihan makanan, makanan Asia, Indonesia, Barat, dan harganya sangat terjangkau. Pelayanannya juga bagus."
"I bought this product because everyone said it had the best quality, but I didn't get the same impression.","Saya membeli produk ini karena semua orang mengatakan bahwa produk ini memiliki kualitas terbaik, tetapi saya tidak mendapatkan kesan yang sama."
There were many defects that I felt after buying this brand of phone. The camera is bad. The speaker is not loud. The screen is also not comfortable to look at.,Ada banyak kekurangan yang saya rasakan setelah membeli ponsel merek ini. Kameranya buruk. Speakernya tidak keras. Layarnya juga tidak nyaman untuk dilihat.
Bar ndelok kabeh areane dukuh bamboo suitable for hunting. Awit soko sarang pring tekan telogone. Inshallah you will return in May to experience the natural environment again.,Bar ndelok kabeh areane bambu dukuh cocok untuk berburu. Awit soko sarang pring tekan telogone. Insya Allah Anda akan kembali di bulan Mei untuk merasakan lingkungan yang alami lagi.
The noodles are very similar to the original nursijan noodles which are now gone because the chef passed away. Sego gorenge uga recommended,Mie ini sangat mirip dengan mie nursijan asli yang sekarang sudah tidak ada karena kokinya sudah meninggal dunia. Sego gorenge juga direkomendasikan
Sepurane aku mambengi oleh pesenan saka regensi nyang rs multazam mbayare nganggo gopay nanging ora mlebu nyang deposit tulung diewangi,Sepurane aku mambengi oleh pesenan saka regensi nyang rs multazam mbayare nganggo gopay nanging ora mlebu nyang deposit tulung diewangi
Pancene rega ora isa ngapusi. The taste of food in this place is forbidden. But it is connected to the taste of the place.,Pancene rega ora isa ngapusi. Rasa makanan di tempat ini dilarang. Tapi ini berhubungan dengan rasa dari tempat tersebut.
I'm kaping pirang-pirang mangan ning kene. It's a nice place to relax with friends or family. The food prices are also friendly: I like the rawone.,Aku kaping pirang-pirang mangan ning kene. Tempat yang nyaman untuk bersantai bersama teman atau keluarga. Harga makanannya juga bersahabat: Saya suka rawonnya.
"Directly enegeg, mine amoh tenan, ngentenine suwi, servicee ora sumeh.","Langsung enegeg, tambang amoh tenan, ngentenine suwi, servise ora sumeh."
"Looking for a cheap and festive snack on Jalan Braga, try this place. Simple menu, decent taste, especially for those who like chili. The place is not too crowded, there is live music, sometimes visitors enter to sing, for those who like quiet conditions, it is definitely not suitable to eat here.","Mencari jajanan murah dan meriah di Jalan Braga, cobalah tempat ini. Menu sederhana, rasa lumayan, terutama bagi yang suka sambal. Tempatnya tidak terlalu ramai, ada live music, kadang pengunjung masuk untuk bernyanyi, bagi yang suka kondisi sepi, pasti kurang cocok makan di sini."
"For those who want to feel nostalgic for the tin plates and cups, and the typical Sundanese food menu, this restaurant is a good choice. It is located in the center of the city, close to the satay building, so on weekdays, especially on Sundays, the area around the restaurant is very crowded.","Bagi mereka yang ingin bernostalgia dengan piring dan gelas kaleng, serta menu makanan khas Sunda, restoran ini adalah pilihan yang tepat. Letaknya berada di pusat kota, dekat dengan gedung sate, sehingga pada hari biasa, terutama hari Minggu, area sekitar restoran sangat ramai."
"Kapisan aku mangan ing resto iki, pas mlebu marang resto, mung ana sapasang garwa sing lagi ngrasa mangan mbengi. The restaurant was empty on Sunday during the evening meal time. This is a good sign for a restaurant. The food was also not good, and the taste was not fresh because it was stale. I really don't like it and I don't recommend this restaurant to anyone.","Kapisan aku mangan ing resto iki, pas mlebu marang resto, mung ana sapasang garwa sing lagi ngrasa mangan mbengi. Restoran ini kosong pada hari Minggu saat jam makan malam. Ini adalah pertanda baik untuk sebuah restoran. Makanannya juga kurang enak, dan rasanya tidak segar karena sudah basi. Saya sangat tidak suka dan tidak merekomendasikan restoran ini kepada siapapun."
"The taste is not good. For a Korean restaurant, the taste is not authentic. Nice place, cozy decor.","Rasanya tidak enak. Untuk sebuah restoran Korea, rasanya tidak otentik. Tempat yang bagus, dekorasi yang nyaman."
"The space is good because the distance from one table to another is quite far. The food is also good, especially the cuyune package. The sauce is quite spicy but it's good to continue eating what with the rice and bread that is served inside the menu.","Tempatnya bagus karena jarak dari satu meja ke meja lainnya cukup jauh. Makanannya juga enak, terutama paket cuyune. Sausnya cukup pedas tapi enak untuk dimakan bersama nasi dan roti yang disajikan di dalam menu."
Garut election incumbent pair superior to sawetara,Pasangan petahana Pilkada Garut unggul atas Sawetara
"The location is very strategic in the city of Medan, it's very enjoyable to bring the family to this location, if you want to join the menu, you can do so.","Lokasinya sangat strategis di kota Medan, sangat menyenangkan untuk membawa keluarga ke lokasi ini, jika Anda ingin ikut menikmati menu yang ada, Anda bisa melakukannya."
"Simpang raya restaurant. Dhewe sakaluwarga sing paling seneng yaiku pithik goreng pope. Uga pithik bakar bumbu lan pithik goreng bumbu kremes,","Simpang raya restaurant. Dhewe sakaluwarga sing paling seneng yaiku pithik goreng pope. Uga pithik bakar bumbu lan pithik goreng bumbu kremes,"
"Uwong goblok, masa saben warga entuk nindakake babagan elek. Uwis sesat iki uwong","Uwong goblok, masa saben warga entuk nindakake babagan elek. Uwis sesat iki uwong"
"In terms of location, it can be said that it is quite strategic, right on the side of the big road. The menu is quite varied, such as noodles, bread, coffee, and so on. I currently order indomie sauce endhog salted sing duduhan utawa digodhog, ice orange and vanilla treasure dessert. In terms of taste, it was pretty good.","Dari segi lokasi, bisa dikatakan cukup strategis, tepat di pinggir jalan besar. Menunya pun cukup bervariasi, seperti mie, roti, kopi, dan lain sebagainya. Saat ini saya memesan indomie kuah endhog asin sing duduhan utawa digodhog, es jeruk dan dessert harta karun vanila. Dari segi rasa, rasanya cukup enak."
Don't trust online news. There's a lot of deleting.,Jangan mempercayai berita online. Ada banyak yang dihapus.
"Facilities are good, the kids are happy, there is a tv, mini garden, tlagane apik, foodane komplet, layoute lan katata natural garden.","Fasilitas bagus, anak-anak senang, ada tv, taman mini, tlagane apik, makanan lengkap, tata letak dan taman yang asri."
I just left the place where I was eating because there was no food to eat. The place was very crowded and my family and I arrived late in the afternoon. We waited for more than half an hour just to find out that half of our order was gone. The order was also quickly taken care of.,Saya baru saja meninggalkan tempat saya makan karena tidak ada makanan untuk dimakan. Tempat itu sangat ramai dan saya dan keluarga saya tiba sore hari. Kami menunggu lebih dari setengah jam hanya untuk mengetahui bahwa setengah dari pesanan kami sudah habis. Pesanan kami pun segera diurus dengan cepat.
We also did the calculations and found that there was cheating. It must have been a bribe for him to win.,Kami juga melakukan perhitungan dan menemukan adanya kecurangan. Pasti ada suap agar dia bisa menang.
"Please infoake atm nang ndi wae ing semarang sing isa kanggo withdraw cash liwat bca mobile, matur suwun","Please infoake atm nang ndi wae ing semarang sing isa kanggo withdraw cash liwat bca mobile, matur suwun"
"Kanca recommends this place because the taste of the noodle baksone is unique. The location is close to the grand mosque. The place is simple but clean. Serving price rp. 55.000 while the avocado ombean is rp. 30.000. Taste-wise, it's good and the price is reasonable.","Kanca merekomendasikan tempat ini karena rasa mie baksonya yang unik. Lokasinya dekat dengan masjid agung. Tempatnya sederhana namun bersih. Harga seporsinya rp. 55.000 sedangkan ombean alpukatnya rp. 30.000. Dari segi rasa, rasanya enak dan harganya terjangkau."
"Kaping pisa mara mrene I nyepelake, when I ngrungakna lagu khas sunda sek nenangake lan panggonan mangan sek nyaman. And the food or patio is forbidden for the family and the service is very good. I highly recommend this place. Steady leaf village","Kaping pisa mara mrene saya nyepelake, ketika saya ngrungakna lagu khas sunda sek nenangake lan panggonan mangan sek nyaman. Dan makanannya atau patio dilarang untuk keluarga dan pelayanannya sangat baik. Saya sangat merekomendasikan tempat ini. Kampung daun yang mantap"
It's a fun place for couples to hang out. There is a special menu here that is quite interesting. It is recommended that you bring a friend to accompany you to the event. This is how the excitement happens. Yup jajalen super big ireng burger menu approximately 16 cm diametere.,Ini adalah tempat yang menyenangkan bagi para pasangan untuk berkumpul. Di sini ada menu khusus yang cukup menarik. Disarankan agar Anda membawa teman untuk menemani Anda ke acara tersebut. Beginilah keseruan yang terjadi. Yup jajal menu burger ireng super besar berdiameter kurang lebih 16 cm.
Siktas-siktas iki wis kedaden pindo earthquake ning lombok.,Siktas-siktas iki wis kedaden pindo earthquake ning lombok.
"This is John's paseksiné when the Jews from Yérusalèm confronted the priests and the Lèwi people with the question, ""Who are you?""","Ini adalah paseksiné Yohanes ketika orang-orang Yahudi dari Yerusalem menghadapi para imam dan orang-orang Lèwi dengan pertanyaan, ""Siapakah kamu?"""
"As he slept, Joseph continued to look at the story of what he had heard from the Pangéran's malaékating, and took Mary as his bride,","Sambil tidur, Yusuf terus merenungkan kisah yang ia dengar dari malaekat Pangéran, dan mengambil Maria sebagai istrinya,"
"Yésus continued to answer the people, ""Can the people who are under the manton go through all this trouble while the bride and groom are still there? But there will be a time when the bride and groom will go away, and there will be a feast.","Yésus melanjutkan dengan menjawab orang banyak, ""Dapatkah orang-orang yang berada di bawah pelaminan mengalami semua kesulitan ini sementara pengantin laki-laki dan perempuan masih ada di sana? Tetapi akan tiba saatnya pengantin itu pergi dan akan ada pesta."
"Ing mauné kowé iya padha nglakoni mangkono, nalika kowé isih padha rumaket marang prakara-prakara mau.","Ing mauné kowé iya padha nglakoni mangkono, nalika kowé isih padha rumaket marang prakara-prakara mau."
"When I was about to travel to Macedonia, I warned you to stay in Éphesus and tell the people of the world, so that you would only teach others,","Ketika aku hendak pergi ke Makedonia, aku memperingatkan kamu untuk tinggal di Efesus dan memberitakan kepada orang-orang di seluruh dunia, sehingga kamu hanya mengajar orang lain,"
"The friends could not understand what was being said, but they did not dare to ask Panjenengané for information.","Teman-temannya tidak mengerti apa yang dibicarakan, tetapi mereka tidak berani bertanya kepada Panjenengané."
"Then the sadhèrèké of Yésus said to Panjenengané, ""Please take action to Yudéa, so that your disciples can recognize the work that you are doing.","Kemudian sadhèrèké Yésus berkata kepada Panjenengané, ""Tolong ambil tindakan kepada Yudéa, agar murid-muridmu dapat mengenali pekerjaan yang sedang kamu lakukan."
"But Yésus understood, and then said to his friends, ""What are you doing disturbing this woman? Awit panggawé becik yang katandukaké marang Aku.","Tetapi Yésus mengerti, lalu berkata kepada teman-temannya, ""Apa yang kamu lakukan mengganggu perempuan ini? Awit panggawé becik yang katandukaké marang Aku."
"Wong-wong mau ya banjur sowan sarta nyuwun tulung kanthi adreng, aturé, ""Tiyang punika pantes kapitulungan,","Wong-wong mau ya banjur sowan sarta nyuwun tulung kanthi adreng, aturé, ""Tiyang punika pantes kapitulungan,"
